crop_name,soil_type,rainfall,temperature,humidity,fertilizer_used,season,yield
Maize,Black,862.27,28.33,79.74,Compost,Monsoon,45.96
Sugarcane,Loamy,1276.98,29.43,77.47,Organic,Monsoon,53.41
Cotton,Black,295.29,14.37,49.57,Organic,Rabi,22.32
Sugarcane,Silt,1719.54,29.81,83.35,NPK,Monsoon,37.72
Soybean,Black,949.92,23.63,73.85,Urea,Kharif,37.65
Cotton,Sandy,1126.85,27.61,79.48,NPK,Monsoon,29.95
Cotton,Sandy,819.38,25.39,95.0,Urea,Monsoon,19.81
Sugarcane,Loamy,1164.73,24.39,60.61,Urea,Kharif,56.25
Rice,Silt,286.01,14.1,46.07,Urea,Rabi,31.74
Sugarcane,Loamy,44.86,28.36,29.36,NPK,Summer,33.64
Cotton,Silt,914.47,31.97,67.29,NPK,Kharif,38.01
Maize,Black,743.04,27.14,71.12,Urea,Kharif,48.43
Maize,Loamy,905.54,29.61,85.89,Compost,Monsoon,43.34
Sugarcane,Clay,393.52,25.45,43.1,Compost,Rabi,51.83
Soybean,Silt,1625.73,25.92,78.06,Compost,Monsoon,19.96
Wheat,Sandy,400.19,19.12,55.05,Compost,Rabi,29.67
Cotton,Sandy,1012.12,27.98,78.51,NPK,Monsoon,32.66
Sugarcane,Sandy,861.64,24.29,67.24,Organic,Kharif,54.29
Soybean,Clay,1248.17,20.17,77.36,Compost,Monsoon,29.93
Rice,Sandy,128.85,35.43,32.77,Organic,Summer,17.15
Maize,Sandy,90.52,31.23,41.64,Compost,Summer,20.89
Sugarcane,Black,186.55,17.75,56.74,NPK,Rabi,53.45
Soybean,Black,1082.84,25.55,70.83,DAP,Kharif,38.95
Sugarcane,Black,30.47,28.76,28.76,NPK,Summer,32.87
Sugarcane,Silt,901.84,27.63,73.21,Urea,Kharif,57.07
Wheat,Sandy,1075.48,26.81,62.22,Compost,Kharif,35.71
Wheat,Clay,39.59,31.47,36.74,NPK,Summer,19.18
Soybean,Black,1250.51,24.43,91.5,NPK,Monsoon,29.95
Maize,Black,926.74,30.88,88.43,Organic,Kharif,37.17
Rice,Sandy,195.95,18.83,39.7,Urea,Rabi,26.35
Sugarcane,Black,27.51,32.03,28.48,Compost,Summer,28.73
Wheat,Clay,270.06,18.71,54.43,DAP,Rabi,36.55
Rice,Loamy,417.05,19.52,59.73,Urea,Rabi,49.23
Cotton,Loamy,180.94,41.2,35.01,Compost,Summer,10.0
Wheat,Black,1534.53,26.04,70.65,Urea,Monsoon,29.68
Sugarcane,Black,1199.7,30.07,68.09,Organic,Kharif,53.8
Rice,Silt,1716.07,21.81,84.63,Organic,Monsoon,23.43
Cotton,Loamy,113.92,32.49,23.14,Compost,Summer,10.0
Cotton,Silt,1613.57,25.5,81.37,DAP,Monsoon,17.73
Maize,Loamy,960.36,28.51,72.4,Compost,Kharif,45.12
Maize,Black,1559.99,22.04,83.73,Compost,Monsoon,29.11
Cotton,Silt,1181.2,29.31,67.18,Urea,Kharif,31.77
Soybean,Loamy,893.21,29.92,92.82,Organic,Monsoon,31.24
Wheat,Clay,137.04,31.83,45.04,Compost,Summer,28.19
Rice,Silt,253.43,24.75,50.25,Organic,Rabi,44.14
Wheat,Sandy,234.88,35.11,44.62,Compost,Summer,18.91
Maize,Black,1665.26,24.47,82.11,Organic,Monsoon,25.05
Soybean,Silt,220.01,41.73,27.16,Compost,Summer,10.0
Cotton,Loamy,1505.23,28.11,79.65,DAP,Monsoon,26.56
Sugarcane,Clay,588.37,33.58,69.96,Compost,Kharif,54.78
Cotton,Loamy,815.35,21.44,91.77,Organic,Monsoon,30.78
Wheat,Silt,163.35,33.56,22.41,DAP,Summer,10.0
Sugarcane,Black,164.16,40.42,34.64,Compost,Summer,27.32
Soybean,Loamy,249.41,38.45,33.02,NPK,Summer,12.22
Sugarcane,Loamy,377.6,24.45,36.38,Compost,Rabi,48.23
Maize,Sandy,945.57,25.31,84.15,DAP,Monsoon,38.59
Rice,Clay,1419.71,22.41,92.82,Urea,Monsoon,26.48
Cotton,Sandy,173.37,40.58,33.96,Compost,Summer,10.0
Soybean,Clay,1745.24,29.88,77.48,Urea,Monsoon,20.13
Sugarcane,Sandy,65.82,33.39,34.5,Compost,Summer,25.74
Soybean,Sandy,248.32,32.13,49.34,Organic,Summer,24.75
Maize,Loamy,1137.43,30.94,84.99,Organic,Kharif,41.06
Rice,Black,354.65,19.93,55.33,DAP,Rabi,46.32
Sugarcane,Clay,716.25,27.29,77.39,Urea,Kharif,59.85
Wheat,Sandy,975.64,21.32,83.49,DAP,Monsoon,33.78
Soybean,Black,202.79,23.2,49.46,DAP,Rabi,35.09
Sugarcane,Sandy,1762.89,21.41,94.16,Urea,Monsoon,21.07
Sugarcane,Silt,40.77,33.52,27.93,Organic,Summer,23.06
Maize,Sandy,1622.42,29.4,72.71,Organic,Monsoon,23.71
Wheat,Black,230.51,31.1,21.9,Organic,Summer,10.0
Sugarcane,Sandy,597.84,33.36,69.13,Compost,Kharif,52.08
Wheat,Clay,255.46,15.94,63.48,Organic,Rabi,32.95
Soybean,Silt,454.17,20.48,60.01,Organic,Rabi,37.24
Maize,Loamy,277.35,25.21,60.66,DAP,Rabi,43.95
Sugarcane,Sandy,33.93,31.86,49.05,Organic,Summer,40.44
Cotton,Loamy,535.4,26.0,89.66,NPK,Kharif,33.71
Rice,Loamy,334.55,23.01,41.99,Organic,Rabi,42.1
Soybean,Loamy,495.01,18.64,58.96,DAP,Rabi,36.47
Wheat,Clay,201.7,31.33,29.71,Urea,Summer,14.1
Wheat,Clay,1021.97,27.71,83.34,Compost,Kharif,35.92
Wheat,Silt,478.17,10.69,58.5,Organic,Rabi,27.06
Soybean,Sandy,542.58,27.75,72.05,Compost,Kharif,35.66
Cotton,Silt,725.48,23.78,63.79,Urea,Kharif,38.46
Soybean,Black,1794.63,25.31,81.34,DAP,Monsoon,16.38
Wheat,Loamy,272.03,24.21,47.41,Organic,Rabi,38.17
Cotton,Silt,118.16,37.31,31.23,Urea,Summer,10.0
Cotton,Loamy,565.26,23.16,82.16,Urea,Kharif,36.89
Soybean,Loamy,174.1,33.75,46.21,Organic,Summer,28.94
Cotton,Loamy,100.88,36.09,26.38,DAP,Summer,10.0
Rice,Loamy,46.42,31.9,26.78,DAP,Summer,17.76
Soybean,Black,926.3,29.89,80.8,Organic,Kharif,35.17
Maize,Sandy,21.4,40.18,36.99,DAP,Summer,10.0
Rice,Loamy,250.48,17.26,39.72,Urea,Rabi,32.24
Maize,Black,1118.34,23.87,82.63,Organic,Kharif,37.8
Wheat,Sandy,1285.66,24.42,76.83,Compost,Monsoon,30.42
Wheat,Sandy,698.27,30.14,74.6,Compost,Kharif,36.86
Wheat,Clay,505.38,25.62,66.34,Compost,Kharif,40.29
Maize,Sandy,505.41,30.96,65.27,DAP,Kharif,41.2
Sugarcane,Clay,36.58,40.06,21.27,Organic,Summer,10.0
Wheat,Sandy,1373.4,27.09,80.44,Organic,Monsoon,24.73
Wheat,Sandy,1632.03,29.2,72.2,NPK,Monsoon,23.78
Rice,Silt,1323.96,23.96,77.76,Organic,Monsoon,39.21
Maize,Clay,871.42,24.33,83.29,Urea,Kharif,41.22
Sugarcane,Clay,602.51,24.37,78.07,NPK,Kharif,60.13
Sugarcane,Loamy,1263.95,25.64,84.49,NPK,Monsoon,53.24
Soybean,Black,54.72,28.96,33.27,DAP,Summer,15.35
Maize,Black,136.69,32.35,33.56,Urea,Summer,20.39
Maize,Loamy,1262.71,25.54,89.8,Urea,Monsoon,36.8
Cotton,Black,159.15,35.02,48.73,NPK,Summer,23.57
Maize,Loamy,115.66,21.32,64.73,Organic,Rabi,40.66
Soybean,Clay,231.13,33.42,43.23,DAP,Summer,25.92
Wheat,Sandy,41.74,37.5,28.52,Urea,Summer,10.0
Sugarcane,Black,38.75,37.29,47.5,NPK,Summer,38.86
Sugarcane,Silt,716.71,26.52,83.75,NPK,Kharif,57.77
Sugarcane,Black,1308.49,20.18,77.72,Urea,Monsoon,52.13
Maize,Silt,499.99,12.48,43.87,NPK,Rabi,29.29
Soybean,Black,963.35,32.52,78.54,Organic,Kharif,37.32
Rice,Clay,388.47,10.7,45.93,NPK,Rabi,29.26
Cotton,Black,1034.0,22.39,94.14,DAP,Monsoon,26.18
Rice,Sandy,1261.68,22.82,79.55,Organic,Monsoon,35.9
Rice,Clay,449.2,10.83,49.42,Organic,Rabi,29.08
Wheat,Black,39.29,30.24,33.48,Urea,Summer,17.3
Cotton,Loamy,1684.63,29.3,80.37,NPK,Monsoon,18.73
Maize,Clay,762.44,22.34,87.92,Compost,Kharif,39.43
Sugarcane,Sandy,115.32,24.68,49.17,NPK,Rabi,47.24
Sugarcane,Silt,1134.1,22.23,66.47,Compost,Kharif,52.58
Sugarcane,Black,911.19,22.88,77.53,Organic,Monsoon,55.77
Cotton,Black,577.6,32.86,77.9,Compost,Kharif,31.72
Soybean,Black,216.51,10.03,45.58,NPK,Rabi,16.23
Rice,Loamy,35.57,35.36,35.22,Organic,Summer,25.41
Soybean,Loamy,843.53,23.87,79.33,Compost,Monsoon,40.65
Maize,Loamy,393.18,20.05,58.15,DAP,Rabi,45.69
Maize,Clay,145.58,39.39,25.25,Urea,Summer,10.0
Cotton,Silt,125.24,22.42,48.73,NPK,Rabi,26.13
Wheat,Clay,234.68,35.22,49.67,Urea,Summer,28.81
Maize,Loamy,102.1,38.93,45.97,NPK,Summer,25.54
Wheat,Sandy,1543.31,28.95,79.67,Compost,Monsoon,23.19
Cotton,Silt,204.26,38.18,22.37,DAP,Summer,10.0
Rice,Black,43.6,32.59,28.87,DAP,Summer,18.66
Sugarcane,Silt,1151.55,20.42,91.75,NPK,Monsoon,43.86
Cotton,Sandy,969.83,26.87,75.39,Urea,Kharif,32.17
Rice,Loamy,834.8,20.67,89.46,NPK,Monsoon,42.09
Cotton,Black,371.62,25.18,46.16,Urea,Rabi,33.14
Soybean,Clay,111.55,37.09,27.49,Organic,Summer,10.0
Sugarcane,Clay,1713.54,21.18,89.37,Compost,Monsoon,30.03
Rice,Black,1000.18,21.36,71.85,DAP,Monsoon,46.95
Sugarcane,Silt,173.6,37.93,36.5,Urea,Summer,31.05
Maize,Clay,137.01,29.7,26.03,NPK,Summer,14.14
Cotton,Loamy,127.5,41.76,23.89,DAP,Summer,10.0
Wheat,Sandy,1325.7,27.69,90.58,Compost,Monsoon,18.69
Maize,Loamy,1480.11,23.45,91.95,Compost,Monsoon,27.08
Sugarcane,Black,273.05,24.57,36.66,NPK,Rabi,44.58
Rice,Sandy,229.06,21.35,45.38,NPK,Rabi,36.58
Maize,Loamy,354.02,18.81,38.76,DAP,Rabi,32.27
Soybean,Loamy,336.72,19.29,40.14,Organic,Rabi,28.44
Soybean,Sandy,1077.67,22.34,61.36,Organic,Kharif,33.15
Soybean,Sandy,1418.11,20.3,92.22,NPK,Monsoon,14.61
Sugarcane,Sandy,421.88,20.96,43.92,Compost,Rabi,41.97
Wheat,Clay,1284.25,22.04,85.17,Compost,Monsoon,28.16
Sugarcane,Sandy,930.77,23.71,84.04,DAP,Monsoon,48.94
Cotton,Loamy,1047.92,20.97,77.26,DAP,Monsoon,34.56
Soybean,Silt,425.39,24.94,56.63,NPK,Rabi,37.64
Rice,Silt,1298.76,23.09,70.58,Organic,Monsoon,44.47
Soybean,Silt,333.34,10.78,43.44,NPK,Rabi,17.04
Sugarcane,Silt,1093.02,27.17,86.47,DAP,Kharif,52.13
Cotton,Sandy,851.16,25.62,79.06,Urea,Monsoon,29.9
Cotton,Black,209.82,36.73,38.33,Compost,Summer,12.49
Wheat,Silt,148.3,33.12,24.33,DAP,Summer,10.0
Cotton,Black,527.24,30.56,84.12,Urea,Kharif,33.25
Rice,Black,231.19,19.81,39.88,Organic,Rabi,36.79
Sugarcane,Sandy,136.68,35.14,34.7,Organic,Summer,28.52
Cotton,Loamy,174.98,41.72,37.51,DAP,Summer,10.0
Sugarcane,Loamy,1065.53,26.56,94.3,Organic,Monsoon,48.13
Rice,Loamy,970.51,26.29,85.49,Organic,Monsoon,47.21
Rice,Clay,633.55,27.29,72.56,Urea,Kharif,49.61
Rice,Silt,1672.82,27.36,71.56,Organic,Monsoon,29.41
Rice,Black,1325.48,23.14,74.33,DAP,Monsoon,45.04
Maize,Black,160.32,30.69,27.4,DAP,Summer,18.44
Rice,Sandy,376.1,17.82,49.39,DAP,Rabi,35.5
Sugarcane,Sandy,901.43,28.52,86.87,DAP,Kharif,47.85
Maize,Clay,701.34,30.57,70.39,DAP,Kharif,47.01
Maize,Silt,431.18,14.34,51.86,NPK,Rabi,33.2
Wheat,Black,196.98,20.72,50.93,Organic,Rabi,34.59
Wheat,Loamy,184.99,29.41,43.12,Compost,Summer,26.19
Soybean,Clay,1277.45,21.99,94.1,Compost,Monsoon,19.73
Sugarcane,Loamy,314.06,21.57,63.1,Urea,Rabi,59.76
Rice,Silt,1198.02,26.76,74.86,NPK,Kharif,47.26
Maize,Loamy,150.63,29.5,49.49,Urea,Summer,35.4
Sugarcane,Black,1689.26,21.34,82.61,Organic,Monsoon,35.02
Wheat,Sandy,1448.29,27.19,70.35,NPK,Monsoon,28.06
Maize,Black,344.38,20.22,47.16,NPK,Rabi,39.08
Maize,Loamy,629.35,23.69,69.71,Compost,Kharif,46.65
Maize,Silt,1553.76,29.54,77.55,NPK,Monsoon,32.79
Wheat,Sandy,124.85,11.89,44.2,DAP,Rabi,11.73
Soybean,Sandy,104.54,31.09,48.72,Urea,Summer,21.32
Cotton,Black,1501.94,29.13,88.93,DAP,Monsoon,20.78
Rice,Clay,867.85,28.34,70.85,Organic,Kharif,51.7
Wheat,Loamy,329.08,12.4,44.84,Organic,Rabi,23.76
Wheat,Clay,890.94,25.1,90.22,Organic,Monsoon,33.58
Soybean,Silt,891.16,30.07,69.25,Compost,Kharif,36.54
Maize,Loamy,531.7,26.13,61.91,NPK,Kharif,52.72
Wheat,Silt,114.04,38.77,42.97,Urea,Summer,19.94
Sugarcane,Silt,1248.54,29.17,79.44,DAP,Monsoon,49.97
Sugarcane,Black,47.29,41.9,31.79,NPK,Summer,19.25
Rice,Loamy,126.49,38.07,32.72,Urea,Summer,19.34
Rice,Clay,55.68,30.64,46.26,Compost,Summer,33.46
Wheat,Silt,668.47,22.81,77.82,Organic,Kharif,39.49
Sugarcane,Loamy,781.59,24.81,66.52,NPK,Kharif,65.36
Wheat,Clay,73.86,40.83,37.28,Organic,Summer,10.0
Sugarcane,Sandy,221.54,41.8,35.64,NPK,Summer,22.42
Maize,Loamy,350.4,16.84,49.87,Organic,Rabi,39.58
Sugarcane,Silt,180.15,33.72,29.0,Organic,Summer,27.66
Soybean,Silt,220.29,21.32,59.17,NPK,Rabi,37.03
Soybean,Silt,255.37,14.08,44.91,Compost,Rabi,17.87
Cotton,Sandy,120.61,16.03,53.15,Urea,Rabi,15.16
Wheat,Clay,291.76,23.91,44.99,Organic,Rabi,35.67
Wheat,Clay,1022.82,31.05,87.43,NPK,Kharif,35.36
Sugarcane,Clay,320.83,22.41,46.42,Compost,Rabi,50.35
Maize,Sandy,137.95,34.96,22.96,DAP,Summer,10.0
Cotton,Sandy,91.97,28.64,45.92,NPK,Summer,19.69
Wheat,Sandy,1095.19,21.96,75.75,Organic,Monsoon,33.27
Rice,Silt,79.19,39.5,49.0,Organic,Summer,26.58
Cotton,Silt,58.93,38.08,34.65,NPK,Summer,10.0
Soybean,Loamy,1087.35,22.89,84.54,Organic,Kharif,31.8
Wheat,Silt,127.19,12.42,41.56,NPK,Rabi,16.22
Wheat,Black,1459.28,20.16,83.31,Organic,Monsoon,25.49
Wheat,Black,23.94,39.38,40.22,DAP,Summer,15.98
Rice,Loamy,196.39,19.92,42.57,Urea,Rabi,36.14
Cotton,Loamy,1259.0,22.43,87.43,DAP,Monsoon,25.95
Wheat,Loamy,1179.26,25.53,71.4,Urea,Monsoon,38.71
Rice,Loamy,1444.91,23.31,94.43,Compost,Monsoon,29.96
Soybean,Loamy,460.51,21.08,52.0,NPK,Rabi,37.57
Wheat,Sandy,625.55,32.21,60.47,Organic,Kharif,35.29
Rice,Silt,57.36,31.37,45.04,Urea,Summer,31.07
Soybean,Sandy,416.2,21.03,37.35,Compost,Rabi,21.51
Maize,Loamy,1032.14,20.76,85.13,Urea,Monsoon,40.45
Soybean,Silt,943.89,31.4,73.52,DAP,Kharif,37.2
Soybean,Silt,371.88,20.57,37.57,Compost,Rabi,24.67
Rice,Loamy,55.47,37.96,39.02,Urea,Summer,25.05
Maize,Sandy,503.64,25.7,70.8,Urea,Kharif,40.47
Rice,Loamy,1248.84,25.55,80.2,NPK,Monsoon,42.51
Maize,Black,218.66,28.17,32.41,Urea,Summer,26.25
Sugarcane,Black,374.13,12.71,43.07,NPK,Rabi,39.75
Rice,Loamy,1075.96,23.0,89.57,NPK,Monsoon,40.96
Rice,Silt,283.14,12.17,35.2,Organic,Rabi,19.29
Soybean,Silt,1134.74,28.15,91.49,DAP,Monsoon,30.49
Rice,Sandy,291.6,12.84,46.95,DAP,Rabi,24.84
Sugarcane,Silt,230.35,14.48,58.58,Organic,Rabi,44.7
Soybean,Clay,372.69,18.8,63.59,Organic,Rabi,34.9
Sugarcane,Clay,211.19,28.97,45.43,Compost,Summer,47.22
Sugarcane,Silt,75.66,37.22,41.46,NPK,Summer,37.07
Wheat,Silt,1382.24,25.34,93.09,Organic,Monsoon,24.34
Cotton,Black,181.38,39.37,37.81,Urea,Summer,12.92
Wheat,Clay,358.8,10.71,64.51,DAP,Rabi,26.63
Cotton,Sandy,507.38,25.1,75.32,Compost,Kharif,30.54
Soybean,Black,1174.12,24.63,86.99,NPK,Monsoon,33.37
Rice,Sandy,904.55,24.16,94.04,Urea,Monsoon,30.61
Sugarcane,Clay,98.91,38.98,35.63,DAP,Summer,28.47
Wheat,Silt,35.45,28.63,41.32,Compost,Summer,19.21
Maize,Loamy,306.4,18.83,44.93,NPK,Rabi,36.99
Cotton,Clay,174.55,20.52,46.87,Compost,Rabi,25.71
Rice,Silt,1188.84,27.05,75.14,Organic,Monsoon,45.74
Wheat,Black,246.32,13.15,38.42,Urea,Rabi,19.13
Cotton,Black,1411.31,25.87,78.7,DAP,Monsoon,29.72
Soybean,Clay,970.48,25.76,67.16,DAP,Kharif,38.96
Maize,Clay,1218.24,21.38,79.59,Organic,Monsoon,36.27
Sugarcane,Black,295.86,12.24,44.44,NPK,Rabi,39.58
Wheat,Sandy,936.53,28.15,94.1,Urea,Monsoon,25.63
Cotton,Silt,1510.14,24.44,74.18,Compost,Monsoon,23.54
Rice,Sandy,71.71,32.04,43.42,Urea,Summer,26.42
Cotton,Black,900.9,25.21,76.29,Organic,Kharif,39.34
Soybean,Loamy,495.91,11.64,59.9,Compost,Rabi,28.38
Maize,Loamy,100.17,39.43,33.17,Compost,Summer,16.3
Rice,Clay,218.04,36.54,32.85,Organic,Summer,22.26
Rice,Clay,142.42,36.36,25.05,Urea,Summer,14.49
Maize,Sandy,239.05,35.2,47.0,Organic,Summer,27.73
Rice,Silt,219.42,29.78,45.98,Urea,Summer,35.24
Sugarcane,Sandy,1289.46,25.77,76.72,NPK,Monsoon,47.97
Cotton,Loamy,1315.61,22.78,93.41,Urea,Monsoon,20.09
Cotton,Sandy,1108.24,32.17,62.79,Organic,Kharif,31.15
Sugarcane,Sandy,1017.83,24.3,75.3,Urea,Monsoon,51.29
Maize,Sandy,326.46,17.77,45.31,Organic,Rabi,29.49
Wheat,Loamy,816.28,29.29,73.95,Urea,Monsoon,44.49
Cotton,Clay,56.56,41.06,28.22,NPK,Summer,10.0
Maize,Loamy,120.71,20.01,56.78,DAP,Rabi,40.62
Cotton,Loamy,649.39,22.94,77.81,Urea,Kharif,37.59
Cotton,Loamy,207.94,41.83,32.67,Urea,Summer,10.0
Wheat,Clay,1011.53,23.23,69.4,Compost,Kharif,41.82
Rice,Silt,127.36,19.01,53.31,NPK,Rabi,36.88
Maize,Clay,1416.08,24.42,75.43,NPK,Monsoon,39.2
Rice,Loamy,1151.54,24.29,89.78,Organic,Monsoon,38.31
Sugarcane,Loamy,199.16,37.67,45.44,NPK,Summer,43.71
Maize,Clay,399.14,14.73,36.64,Organic,Rabi,26.38
Rice,Silt,668.76,29.66,62.13,Compost,Kharif,50.88
Wheat,Sandy,254.74,23.42,47.63,DAP,Rabi,29.97
Rice,Silt,911.15,22.17,66.47,Urea,Kharif,50.29
Cotton,Black,1223.58,24.02,86.01,DAP,Monsoon,28.55
Rice,Sandy,38.17,40.89,49.23,Urea,Summer,16.71
Maize,Silt,717.12,27.25,88.6,Organic,Kharif,37.63
Rice,Loamy,817.36,29.31,69.28,Compost,Kharif,52.34
Sugarcane,Clay,995.53,30.42,64.91,Urea,Kharif,60.82
Soybean,Black,248.75,22.0,61.2,DAP,Rabi,38.37
Wheat,Loamy,1071.98,20.64,87.81,DAP,Monsoon,34.38
Wheat,Silt,32.75,40.03,25.01,Compost,Summer,10.0
Wheat,Black,396.31,10.04,60.76,Urea,Rabi,22.69
Wheat,Silt,1720.23,21.79,94.01,DAP,Monsoon,10.0
Sugarcane,Silt,77.1,40.82,29.6,NPK,Summer,21.61
Soybean,Sandy,625.54,31.65,89.44,Urea,Kharif,28.9
Wheat,Silt,95.28,35.74,20.24,DAP,Summer,10.0
Soybean,Sandy,285.57,19.47,49.8,Organic,Rabi,27.36
Rice,Black,102.55,16.56,41.99,NPK,Rabi,30.11
Sugarcane,Loamy,1031.25,26.52,82.14,DAP,Kharif,55.92
Rice,Black,1292.03,20.6,94.92,NPK,Monsoon,31.66
Wheat,Loamy,1500.85,23.72,94.36,NPK,Monsoon,19.02
Wheat,Black,874.83,25.68,80.87,NPK,Monsoon,44.32
Rice,Sandy,232.99,33.5,44.96,DAP,Summer,29.21
Cotton,Sandy,1160.49,23.63,83.1,NPK,Kharif,23.21
Wheat,Clay,1114.03,21.21,78.96,Compost,Monsoon,36.49
Cotton,Sandy,216.07,29.27,44.23,Compost,Summer,17.06
Sugarcane,Black,434.37,15.24,37.74,Urea,Rabi,39.39
Maize,Silt,974.03,25.12,89.72,Organic,Kharif,34.08
Cotton,Silt,137.89,11.63,58.81,Organic,Rabi,14.84
Wheat,Clay,429.47,15.96,53.91,NPK,Rabi,34.6
Soybean,Black,515.26,22.77,87.07,DAP,Kharif,34.15
Rice,Loamy,529.89,27.53,65.04,DAP,Kharif,53.27
Sugarcane,Silt,767.91,27.12,70.62,Compost,Kharif,60.97
Maize,Sandy,113.86,19.91,42.37,Compost,Rabi,22.91
Cotton,Black,561.41,26.6,72.58,Compost,Kharif,38.46
Soybean,Clay,1192.58,31.38,70.77,Organic,Kharif,35.52
Cotton,Sandy,109.33,30.52,29.57,Organic,Summer,10.0
Maize,Loamy,196.37,41.99,49.22,Compost,Summer,21.2
Sugarcane,Clay,1034.83,33.37,77.27,DAP,Kharif,56.98
Cotton,Sandy,194.62,15.09,57.14,NPK,Rabi,19.25
Soybean,Loamy,325.24,13.01,64.64,DAP,Rabi,31.36
Cotton,Black,296.17,11.44,41.98,DAP,Rabi,12.86
Soybean,Silt,231.12,30.82,23.91,Urea,Summer,10.0
Maize,Loamy,334.64,24.68,58.23,Urea,Rabi,47.55
Maize,Loamy,1386.02,23.37,78.07,DAP,Monsoon,40.61
Sugarcane,Silt,60.07,41.56,40.81,Compost,Summer,28.45
